===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,firstStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
82,,82,2018-06-13 00:00:00,1064.0,1114.0,1064.0,1114.0,48985141.0,,firstStrategy,82,736858.0,Broker,82,10000.0,10000.0,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,,83,2018-06-17 00:00:00,1165.0,1165.0,1165.0,1165.0,16259720.0,,firstStrategy,83,736862.0,Broker,83,10000.0,10000.0,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,,84,2018-06-18 00:00:00,1223.0,1223.0,1201.0,1223.0,171997637.0,,firstStrategy,84,736863.0,Broker,84,10000.0,10000.0,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,,85,2018-06-19 00:00:00,1222.0,1284.0,1181.0,1283.0,18855162.0,,firstStrategy,85,736864.0,Broker,85,10000.0,10000.0,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,,86,2018-06-20 00:00:00,1319.0,1384.0,1282.0,1304.0,47513711.0,,firstStrategy,86,736865.0,Broker,86,10000.0,10000.0,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,,87,2018-06-23 00:00:00,1320.0,1320.0,1256.0,1284.0,23615686.0,,firstStrategy,87,736868.0,Broker,87,10000.0,10000.0,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,,88,2018-06-24 00:00:00,1285.0,1354.0,1285.0,1354.0,58535807.0,,firstStrategy,88,736869.0,Broker,88,10000.0,10000.0,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,,89,2018-06-25 00:00:00,1380.0,1415.0,1380.0,1415.0,87741373.0,,firstStrategy,89,736870.0,Broker,89,10000.0,10000.0,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,,90,2018-06-26 00:00:00,1420.0,1437.0,1350.0,1390.0,78683940.0,,firstStrategy,90,736871.0,Broker,90,10000.0,10000.0,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,,91,2018-06-27 00:00:00,1400.0,1400.0,1333.0,1334.0,79951686.0,,firstStrategy,91,736872.0,Broker,91,10000.0,10000.0,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,,92,2018-06-30 00:00:00,1351.0,1392.0,1332.0,1333.0,16746612.0,,firstStrategy,92,736875.0,Broker,92,10000.0,10000.0,BuySell,92,,,Trades - Net Profit/Loss,92,,
93,,93,2018-07-01 00:00:00,1333.0,1334.0,1288.0,1297.0,25372176.0,,firstStrategy,93,736876.0,Broker,93,10000.0,10000.0,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,,94,2018-07-02 00:00:00,1275.0,1343.0,1275.0,1308.0,20119735.0,,firstStrategy,94,736877.0,Broker,94,10000.0,10000.0,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,,95,2018-07-03 00:00:00,1333.0,1378.0,1311.0,1352.0,27333498.0,,firstStrategy,95,736878.0,Broker,95,10000.0,10000.0,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,,96,2018-07-04 00:00:00,1361.0,1390.0,1327.0,1349.0,24209538.0,,firstStrategy,96,736879.0,Broker,96,10000.0,10000.0,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,,97,2018-07-07 00:00:00,1360.0,1360.0,1299.0,1299.0,22361402.0,,firstStrategy,97,736882.0,Broker,97,10000.0,10000.0,BuySell,97,,,Trades - Net Profit/Loss,97,,
98,,98,2018-07-08 00:00:00,1326.0,1326.0,1299.0,1310.0,7548981.0,,firstStrategy,98,736883.0,Broker,98,10000.0,10000.0,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,,99,2018-07-10 00:00:00,1301.0,1350.0,1295.0,1300.0,10638962.0,,firstStrategy,99,736885.0,Broker,99,10000.0,10000.0,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,,100,2018-07-11 00:00:00,1339.0,1339.0,1296.0,1300.0,20417254.0,,firstStrategy,100,736886.0,Broker,100,10000.0,10000.0,BuySell,100,,,Trades - Net Profit/Loss,100,,
